date,time,location_X,location_Y,lat,lon,mag,place,type
2021-08-19,22:25:23,244089.36115819553,592998.6455226152,53.316,6.724,0.3,Stedum,induced earthquake
2021-08-09,19:35:30,258033.5208763276,589381.511263523,53.281,6.932,0.9,Meedhuizen,induced earthquake
2021-08-06,03:52:40,236823.13843475017,585188.5777357183,53.247,6.613,0.6,Groningen,induced earthquake
2021-08-05,07:14:45,252143.77979686984,583692.6967206964,53.231,6.842,1.8,Hellum,induced earthquake
2021-08-05,06:33:40,243197.50362694255,597991.5083177137,53.361,6.712,0.6,Garsthuizen,induced earthquake
2021-07-18,06:58:32,255921.7460450831,575532.7779978408,53.157,6.896,0.3,Muntendam,induced earthquake
2021-07-14,04:10:36,245701.31045157972,592360.9421960879,53.31,6.748,0.2,Winneweer,induced earthquake
2021-07-01,20:07:30,249462.03644235752,590986.3481990125,53.297,6.804,0.4,Wirdum,induced earthquake
2021-07-01,15:38:14,249597.5639664463,590877.6970001619,53.296,6.806,2.2,Wirdum,induced earthquake
2021-06-19,01:03:55,243223.05702371633,592982.6328188793,53.316,6.711,2.3,Stedum,induced earthquake
2021-06-19,00:14:29,243354.28477238968,593096.3663619413,53.317,6.713,0.9,Stedum,induced earthquake
2021-06-11,23:29:27,246381.40539451916,595156.8473195981,53.335,6.759,2,Loppersum,induced earthquake
2021-05-30,04:08:00,245789.49232153755,605275.8967242999,53.426,6.753,0.3,Uithuizermeeden,induced earthquake
2021-05-29,07:34:51,242096.1640673785,596301.5741404868,53.346,6.695,0.6,Westeremden,induced earthquake
2021-05-29,02:55:20,242918.97346943588,587745.1590844706,53.269,6.705,1.2,Ten Boer,induced earthquake
2021-05-26,15:57:42,248425.18531900903,592858.4988099269,53.314,6.789,0.6,Wirdum,induced earthquake
2021-05-17,12:28:58,245298.88827262455,596026.893295807,53.343,6.743,1.4,Loppersum,induced earthquake
2021-05-01,17:43:29,237257.88222034968,583192.3877492957,53.229,6.619,0.8,Groningen,induced earthquake
2021-04-29,12:44:56,241264.98572172664,598067.6333045859,53.362,6.683,1.3,Huizinge,induced earthquake
2021-04-28,19:46:26,241198.4176513254,598066.4348712311,53.362,6.682,2.3,Huizinge,induced earthquake
2021-04-02,01:41:12,243614.66535658416,593435.1246961876,53.32,6.717,0.8,Loppersum,induced earthquake
2021-03-31,01:24:59,249533.08722698572,590765.1058322992,53.295,6.805,1,Wirdum,induced earthquake
2021-03-13,06:00:50,244984.7047965293,595019.1058096081,53.334,6.738,0.6,Loppersum,induced earthquake
2021-02-21,08:50:07,262223.1958864175,584018.2204104892,53.232,6.993,0.7,Nieuwolda,induced earthquake
2021-01-31,18:47:51,244222.6385347121,593001.1229028339,53.316,6.726,1,Stedum,induced earthquake
2021-01-28,02:40:49,248280.56349957315,596863.2548585809,53.35,6.788,0.2,Leermens,induced earthquake
2021-01-27,13:26:49,246448.0142792029,595158.1175528379,53.335,6.76,1.9,Loppersum,induced earthquake
2021-01-24,09:35:04,253857.21404898405,588069.1576233024,53.27,6.869,1.9,Tjuchem,induced earthquake
2021-01-10,22:39:07,248185.001283902,577714.5809607186,53.178,6.781,1.3,Sappemeer,induced earthquake
2020-12-28,02:09:53,254010.15914213896,577385.5370317223,53.174,6.868,0.6,Zuidbroek,induced earthquake
2020-12-21,09:29:31,243506.9371847193,595659.507719788,53.34,6.716,1.8,Westeremden,induced earthquake
2020-12-19,06:24:09,236361.98237027013,600542.1208239683,53.385,6.61,1.3,Rottum,induced earthquake
2020-12-16,01:03:48,236365.76558141797,600319.5511390833,53.383,6.61,0.5,Rottum,induced earthquake
2020-12-15,02:57:18,236295.4490334313,600540.9903536593,53.385,6.609,1,Rottum,induced earthquake
2020-12-13,15:24:13,250526.29844389265,574309.6491199415,53.147,6.815,0.8,Sappemeer,induced earthquake
2020-11-28,19:44:41,244189.51609914124,594781.606992351,53.332,6.726,0.7,Loppersum,induced earthquake
2020-11-26,13:23:51,242225.2980847498,596526.5600700595,53.348,6.697,1.6,Westeremden,induced earthquake
2020-11-16,04:53:59,244441.53244412452,599127.7821361771,53.371,6.731,1.1,Garsthuizen,induced earthquake
2020-11-05,22:27:58,246877.5161262642,593607.8442839532,53.321,6.766,0.5,Garrelsweer,induced earthquake
2020-10-24,23:52:01,240219.30979594373,585692.8484762658,53.251,6.664,0.6,Garmerwolde,induced earthquake
2020-10-18,12:23:08,240741.19497001765,601286.4789169468,53.391,6.676,1.7,Zandeweer,induced earthquake
2020-10-16,21:52:21,246929.2117144636,594388.0772607857,53.328,6.767,1,Loppersum,induced earthquake
2020-10-07,02:07:16,253233.3545154314,585941.2480259468,53.251,6.859,0.5,Siddeburen,induced earthquake
2020-09-13,10:16:44,235628.02144703575,592737.6333017639,53.315,6.597,0.9,Onderdendam,induced earthquake
2020-09-12,13:41:27,254593.45513021317,578288.1161723996,53.182,6.877,0.4,Zuidbroek,induced earthquake
2020-09-08,23:34:24,241333.09672626609,583152.5084049767,53.228,6.68,0.4,Harkstede,induced earthquake
2020-09-03,05:29:01,242645.18380752424,595421.035006092,53.338,6.703,2,Westeremden,induced earthquake
2020-09-01,04:31:15,245800.05924592388,604719.4788667146,53.421,6.753,1.9,Uithuizermeeden,induced earthquake
2020-08-21,21:58:36,258616.11454190817,568465.4921104878,53.093,6.934,0.7,Veendam,induced earthquake
2020-07-21,06:07:03,243396.98657693437,583523.9465956416,53.231,6.711,1.1,Scharmer,induced earthquake
2020-07-19,02:11:32,243166.76635530527,599660.7421095547,53.376,6.712,0.9,Startenhuizen,induced earthquake
2020-07-19,02:07:52,243233.31241406975,599661.9680130851,53.376,6.713,2.3,Startenhuizen,induced earthquake
2020-07-16,00:45:21,253033.1421392965,585937.1595714702,53.251,6.856,1.8,Hellum,induced earthquake
2020-07-15,06:15:38,244501.8048983667,595900.6215076302,53.342,6.731,0.6,Loppersum,induced earthquake
2020-07-14,15:18:47,244368.6080452958,595898.1359345161,53.342,6.729,2.7,Loppersum,induced earthquake
2020-07-03,06:49:21,245715.31586003705,595144.1958915608,53.335,6.749,0.7,Loppersum,induced earthquake
2020-06-29,20:10:50,254282.7452031036,590081.74753939,53.288,6.876,0.7,Tjuchem,induced earthquake
2020-06-26,14:56:20,262788.4604247973,588595.2805706238,53.273,7.003,1.3,Woldendorp,induced earthquake
2020-06-24,18:54:16,235141.4779642547,585939.4213796542,53.254,6.588,0.7,Groningen,induced earthquake
2020-06-21,23:26:19,245987.69336973096,587802.3107739881,53.269,6.751,0.8,Overschild,induced earthquake
2020-06-21,21:30:45,261780.51452362977,588906.7454299473,53.276,6.988,0.2,Farmsum,induced earthquake
2020-06-13,20:28:45,241142.73598672083,582592.5284818902,53.223,6.677,0.8,Harkstede,induced earthquake
2020-06-10,07:19:12,248769.2655380779,592308.6085268776,53.309,6.794,1,Wirdum,induced earthquake
2020-06-04,23:04:15,250508.52144096536,588669.3216182259,53.276,6.819,1.3,Overschild,induced earthquake
2020-06-01,17:55:04,248567.14911640176,592415.982872603,53.31,6.791,1.9,Wirdum,induced earthquake
2020-06-01,08:27:25,249179.0637620144,578179.1812320747,53.182,6.796,1.2,Sappemeer,induced earthquake
2020-05-31,11:33:57,244639.10986739147,599242.7975698046,53.372,6.734,0.6,Garsthuizen,induced earthquake
2020-05-11,19:07:28,248272.8394872343,590406.4884644127,53.292,6.786,0.3,Garrelsweer,induced earthquake
2020-05-10,04:15:56,252197.72782235433,581022.1235463205,53.207,6.842,0.1,Noordbroek,induced earthquake
2020-05-08,05:54:27,260798.3690775566,597123.3094834547,53.35,6.976,0.7,Eems-Dollard (nabij Emden),induced earthquake
2020-05-04,11:11:11,253030.8721543224,586048.4343297902,53.252,6.856,1.8,Siddeburen,induced earthquake
2020-05-03,22:28:52,249993.70046938828,594447.8134071255,53.328,6.813,0.9,Oosterwijtwerd,induced earthquake
2020-05-02,21:04:22,244657.3187767307,583992.5424506853,53.235,6.73,1.2,Scharmer,induced earthquake
2020-05-02,03:13:15,246468.53405808265,601058.5512681612,53.388,6.762,2.5,Zijldijk,induced earthquake
2020-04-28,10:20:14,246536.58315944832,597497.5477964081,53.356,6.762,1.5,Zeerijp,induced earthquake
2020-04-28,01:51:19,233652.4783768267,591257.7684599605,53.302,6.567,0.4,Bedum,induced earthquake
2020-04-27,14:14:57,249101.34543295356,578734.2427098383,53.187,6.795,0.6,Froombosch,induced earthquake
2020-04-26,00:14:06,252920.09327407996,578365.1171170478,53.183,6.852,0.8,Zuidbroek,induced earthquake
2020-04-23,19:54:31,253611.7018907825,593518.9428384475,53.319,6.867,0.3,Appingedam,induced earthquake
2020-04-04,04:37:23,249725.02571722172,594553.8198848446,53.329,6.809,0.6,Oosterwijtwerd,induced earthquake
2020-03-30,23:53:23,255702.49412581557,576418.7454795561,53.165,6.893,1.3,Zuidbroek,induced earthquake
2020-03-30,04:49:40,253790.5061017541,588067.7850387046,53.27,6.868,1,Tjuchem,induced earthquake
2020-03-23,01:06:01,251989.0438587014,597938.8081596355,53.359,6.844,1.1,Krewerd,induced earthquake
2020-03-23,00:15:13,238549.77428525704,589559.5071363483,53.286,6.64,1.1,Thesinge,induced earthquake
2020-03-22,19:33:12,251989.0438587014,597938.8081596355,53.359,6.844,2.3,Krewerd,induced earthquake
2020-03-17,12:44:06,248629.15714553292,578947.6694773592,53.189,6.788,1.8,Froombosch,induced earthquake
2020-03-17,08:54:55,244374.97887147928,599126.5394817289,53.371,6.73,1.4,Garsthuizen,induced earthquake
2020-03-17,07:18:33,251039.76720649013,592130.8812956788,53.307,6.828,0.8,Appingedam,induced earthquake
2020-03-05,20:08:52,256758.6368738308,586571.2205675582,53.256,6.912,0.3,Wagenborgen,induced earthquake
2020-03-02,13:41:18,256894.45450070192,586462.7752654817,53.255,6.914,2,Wagenborgen,induced earthquake
2020-02-29,02:46:06,260318.91181007645,576406.1262743308,53.164,6.962,0.3,Scheemda,induced earthquake
2020-01-26,08:03:16,245116.07668842672,577322.2394664256,53.175,6.735,1.4,Kolham,induced earthquake
2020-01-24,21:35:02,261748.43574774737,587347.4499187827,53.262,6.987,1.6,Nieuwolda,induced earthquake
2020-01-23,10:12:12,244586.4079490786,584213.8517488473,53.237,6.729,1.3,Lageland,induced earthquake
2020-01-10,23:10:21,252315.5835699605,581803.7389627355,53.214,6.844,1.3,Schildwolde,induced earthquake
2020-01-07,09:15:31,242903.4865671286,581288.6190527735,53.211,6.703,0.8,Harkstede,induced earthquake
2020-01-03,10:36:29,252779.62913601095,578696.217890106,53.186,6.85,0.6,Zuidbroek,induced earthquake
